"","Week","poverty150","problems"
"1",1,"Low Income",33.33
"2",1,"Entire Sample",26.88
"3",2,"Low Income",34.86
"4",2,"Entire Sample",28.03
"5",3,"Low Income",37.91
"6",3,"Entire Sample",25.82
"7",4,"Low Income",33.77
"8",4,"Entire Sample",27.08
"9",5,"Low Income",28.86
"10",5,"Entire Sample",25.84
"11",6,"Low Income",33.09
"12",6,"Entire Sample",28.18
"13",7,"Low Income",35
"14",7,"Entire Sample",27.47
"15",8,"Low Income",32.98
"16",8,"Entire Sample",25.17
"17",9,"Low Income",33.18
"18",9,"Entire Sample",25.84
"19",10,"Low Income",34.05
"20",10,"Entire Sample",24.73
