"","Week","poverty150","problems"
"1",1,"Low Income",43.54
"2",1,"Entire Sample",42.58
"3",2,"Low Income",44.35
"4",2,"Entire Sample",39.42
"5",3,"Low Income",47.24
"6",3,"Entire Sample",36.35
"7",4,"Low Income",41.74
"8",4,"Entire Sample",37.01
"9",5,"Low Income",38.83
"10",5,"Entire Sample",38.27
"11",6,"Low Income",38.5
"12",6,"Entire Sample",36.06
"13",7,"Low Income",39.34
"14",7,"Entire Sample",35.96
"15",8,"Low Income",39.35
"16",8,"Entire Sample",33.74
"17",9,"Low Income",43.88
"18",9,"Entire Sample",38.47
"19",10,"Low Income",41.03
"20",10,"Entire Sample",34
