"","Week","black","problems"
"1",1,"Black/African American",38.97
"2",1,"Entire Sample",45.02
"3",2,"Black/African American",37.77
"4",2,"Entire Sample",43.91
"5",3,"Black/African American",36.57
"6",3,"Entire Sample",42.79
"7",4,"Black/African American",35.36
"8",4,"Entire Sample",41.67
"9",5,"Black/African American",34.16
"10",5,"Entire Sample",40.55
"11",6,"Black/African American",32.96
"12",6,"Entire Sample",39.44
"13",7,"Black/African American",33.66
"14",7,"Entire Sample",39.06
"15",8,"Black/African American",34.36
"16",8,"Entire Sample",38.69
"17",9,"Black/African American",35.06
"18",9,"Entire Sample",38.32
"19",10,"Black/African American",35.76
"20",10,"Entire Sample",37.94
