"","Week","black","problems"
"1",1,"Black/African American",38.97
"2",1,"Entire Sample",44.96
"3",2,"Black/African American",37.77
"4",2,"Entire Sample",43.85
"5",3,"Black/African American",36.57
"6",3,"Entire Sample",42.74
"7",4,"Black/African American",35.37
"8",4,"Entire Sample",41.62
"9",5,"Black/African American",34.17
"10",5,"Entire Sample",40.51
"11",6,"Black/African American",32.97
"12",6,"Entire Sample",39.4
"13",7,"Black/African American",33.67
"14",7,"Entire Sample",39.04
"15",8,"Black/African American",34.36
"16",8,"Entire Sample",38.68
"17",9,"Black/African American",35.06
"18",9,"Entire Sample",38.32
"19",10,"Black/African American",35.76
"20",10,"Entire Sample",37.96
